,SVC,Random Forest,Logistic Regression
bigrams,0.9572463768115942,0.8764492753623188,0.9873188405797102
bigrams pos,0.7914855072463768,0.8086956521739129,0.8173913043478261
bigrams pos punct,0.9829710144927537,0.9958333333333333,1.0
bigrams pos punct tf,0.5445652173913044,1.0,0.5445652173913044
bigrams pos punct tfidf,0.5445652173913044,1.0,0.5445652173913044
bigrams pos tf,0.5445652173913044,0.974094202898551,0.5445652173913044
bigrams pos tfidf,0.5445652173913044,0.9742753623188408,0.5445652173913044
bigrams punct,0.9871376811594204,0.9701086956521738,1.0
bigrams punct tf,0.5445652173913044,0.9871376811594204,0.5445652173913044
bigrams punct tfidf,0.5445652173913044,0.9786231884057972,0.5445652173913044
bigrams tf,0.5445652173913044,0.9740942028985508,0.5445652173913044
bigrams tfidf,0.5445652173913044,0.9697463768115941,0.5445652173913044
cohesive,0.706340579710145,0.7188405797101449,0.7405797101449275
cohesive punctuation,0.8853260869565217,0.9146739130434783,0.9192028985507246
cohesive punctuation tf,0.5445652173913044,0.982608695652174,0.5445652173913044
cohesive punctuation tfidf,0.5445652173913044,0.9827898550724639,0.5445652173913044
cohesive tf,0.5445652173913044,0.952536231884058,0.5445652173913044
cohesive tfidf,0.5445652173913044,0.9527173913043478,0.5445652173913044
synctactic n2,0.9913043478260869,0.9788043478260869,0.9956521739130435
synctactic n2 tf,0.5398550724637682,0.9956521739130435,0.5398550724637682
synctactic n2 tfidf,0.5398550724637682,0.991485507246377,0.5398550724637682
synctactic n3,0.8155797101449276,0.9572463768115943,0.9829710144927537
synctactic n3 tf,0.5398550724637682,0.9746376811594203,0.5398550724637682
synctactic n3 tfidf,0.5398550724637682,0.9871376811594204,0.5398550724637682
trigrams,0.6463768115942028,0.6431159420289855,0.8722826086956521
trigrams pos,0.7657608695652174,0.744927536231884,0.8173913043478261
trigrams pos punct,0.9786231884057971,0.9748188405797104,0.9958333333333333
trigrams pos punct tf,0.5445652173913044,0.9956521739130434,0.5445652173913044
trigrams pos punct tfidf,0.5445652173913044,1.0,0.5445652173913044
trigrams pos tf,0.5445652173913044,0.982608695652174,0.5445652173913044
trigrams pos tfidf,0.5445652173913044,0.982608695652174,0.5445652173913044
trigrams punct,0.9318840579710145,0.927536231884058,0.9702898550724639
trigrams punct tf,0.5445652173913044,0.9405797101449276,0.5445652173913044
trigrams punct tfidf,0.5445652173913044,0.936050724637681,0.5445652173913044
trigrams tf,0.5445652173913044,0.8128623188405797,0.5445652173913044
trigrams tfidf,0.5445652173913044,0.8302536231884057,0.5445652173913044
unigrams,0.9655797101449275,0.9402173913043479,0.9827898550724639
unigrams punct,0.9827898550724639,0.991485507246377,1.0
unigrams punct tf,0.5445652173913044,0.9913043478260869,0.5445652173913044
unigrams punct tfidf,0.5445652173913044,0.9913043478260869,0.5445652173913044
unigrams tf,0.5445652173913044,0.9913043478260869,0.5445652173913044
unigrams tfidf,0.5445652173913044,0.9913043478260869,0.5445652173913044
