,SVC,Naïve Bayes,Random Forest,Logistic Regression
bigrams,0.6467391304347826,0.8,0.8846014492753623,0.9873188405797102
unigrams,0.8465579710144928,0.8896739130434781,0.9277173913043478,0.9827898550724639
trigrams,0.5403985507246378,0.8,0.6300724637681159,0.8722826086956521
unigrams punct,0.8635869565217391,0.9489130434782609,0.991485507246377,1.0
trigrams punct,0.5615942028985507,0.8894927536231882,0.9277173913043478,0.9702898550724639
bigrams punct,0.8380434782608696,0.9570652173913043,0.9744565217391307,1.0
trigrams pos,0.764855072463768,0.5625,0.745108695652174,0.8173913043478261
bigrams pos,0.7873188405797101,0.6170289855072463,0.8302536231884059,0.8215579710144928
trigrams pos punct,0.9612318840579711,0.9958333333333333,0.9833333333333334,0.9958333333333333
bigrams pos punct,0.9746376811594205,0.9958333333333333,0.9916666666666668,1.0
cohesive punctuation,0.8380434782608696,0.8722826086956521,0.9103260869565218,0.9192028985507246
cohesive,0.6943840579710144,0.5407608695652174,0.7485507246376811,0.7405797101449275
syntactic n2,0.8034420289855072,0.9567028985507248,0.9827898550724639,0.9956521739130435
syntactic n3,0.48514492753623184,0.8929347826086957,0.9657608695652173,0.9829710144927537
bigrams tf,0.715036231884058,0.8,0.9740942028985508,0.5445652173913044
bigrams tfidf,0.715036231884058,0.8889492753623189,0.9740942028985508,0.5445652173913044
bigrams pos punct tf,0.9746376811594205,0.9958333333333333,1.0,0.5445652173913044
bigrams pos punct tfidf,0.9746376811594205,0.9958333333333333,1.0,0.5445652173913044
bigrams pos tfidf,0.8045289855072463,0.7784420289855072,0.9784420289855074,0.5445652173913044
bigrams pos tf,0.8045289855072463,0.7869565217391304,0.9786231884057971,0.5445652173913044
bigrams punct tf,0.8422101449275361,0.9570652173913043,0.9827898550724639,0.5445652173913044
cohesive tf,0.6775362318840579,0.5365942028985506,0.952536231884058,0.5445652173913044
cohesive punctuation tf,0.8380434782608696,0.8722826086956521,0.9827898550724639,0.5445652173913044
bigrams punct tfidf,0.8422101449275361,0.9871376811594204,0.9827898550724639,0.5445652173913044
cohesive tfidf,0.6775362318840579,0.5492753623188406,0.9608695652173914,0.5445652173913044
cohesive punctuation tfidf,0.8380434782608696,0.902536231884058,0.9869565217391305,0.5445652173913044
syntactic n2 tf,0.7092391304347826,0.9567028985507248,0.9956521739130435,0.5398550724637682
syntactic n2 tfidf,0.7092391304347826,0.9784420289855074,0.9913043478260869,0.5398550724637682
syntactic n3 tf,0.48514492753623184,0.8929347826086957,0.9744565217391303,0.5398550724637682
syntactic n3 tfidf,0.48514492753623184,0.957427536231884,0.991485507246377,0.5398550724637682
trigrams tf,0.5445652173913044,0.8,0.8211956521739131,0.5445652173913044
trigrams tfidf,0.5445652173913044,0.8336956521739131,0.8465579710144928,0.5445652173913044
trigrams pos tfidf,0.8083333333333333,0.6981884057971015,0.982608695652174,0.5445652173913044
trigrams pos tf,0.8083333333333333,0.6050724637681159,0.982608695652174,0.5445652173913044
trigrams pos punct tfidf,0.9697463768115944,0.9958333333333333,1.0,0.5445652173913044
trigrams pos punct tf,0.9697463768115944,0.9958333333333333,1.0,0.5445652173913044
trigrams punct tf,0.5615942028985507,0.8894927536231882,0.9403985507246377,0.5445652173913044
trigrams punct tfidf,0.5615942028985507,0.9701086956521741,0.9403985507246377,0.5445652173913044
unigrams tfidf,0.8679347826086955,0.9403985507246378,0.9913043478260869,0.5445652173913044
unigrams tf,0.8679347826086955,0.8896739130434781,0.982608695652174,0.5445652173913044
unigrams punct tf,0.8931159420289856,0.9489130434782609,0.9956521739130434,0.5445652173913044
unigrams punct tfidf,0.8931159420289856,0.978804347826087,0.9913043478260869,0.5445652173913044
