,SVC,Random Forest,Logistic Regression
bigrams,0.6467391304347826,0.8929347826086957,0.9873188405797102
bigrams pos,0.7873188405797101,0.7920289855072464,0.8173913043478261
bigrams pos punct,0.9746376811594205,0.9958333333333333,1.0
bigrams pos punct tf,0.9746376811594205,1.0,0.5445652173913044
bigrams pos punct tfidf,0.9746376811594205,1.0,0.5445652173913044
bigrams pos tf,0.8045289855072463,0.974094202898551,0.5445652173913044
bigrams pos tfidf,0.8045289855072463,0.9699275362318842,0.5445652173913044
bigrams punct,0.8380434782608696,0.9704710144927537,1.0
bigrams punct tf,0.8422101449275361,0.9829710144927537,0.5445652173913044
bigrams punct tfidf,0.8422101449275361,0.9827898550724639,0.5445652173913044
bigrams tf,0.715036231884058,0.9739130434782609,0.5445652173913044
bigrams tfidf,0.715036231884058,0.9699275362318842,0.5445652173913044
cohesive,0.6943840579710144,0.761231884057971,0.7405797101449275
cohesive punctuation,0.8380434782608696,0.8936594202898551,0.9192028985507246
cohesive punctuation tf,0.8380434782608696,0.9827898550724639,0.5445652173913044
cohesive punctuation tfidf,0.8380434782608696,0.9871376811594204,0.5445652173913044
cohesive tf,0.6775362318840579,0.9608695652173914,0.5445652173913044
cohesive tfidf,0.6775362318840579,0.9521739130434783,0.5445652173913044
syntactic n2,0.8034420289855072,0.9786231884057972,0.9956521739130435
syntactic n2 tf,0.7092391304347826,0.991485507246377,0.5398550724637682
syntactic n2 tfidf,0.7092391304347826,0.9913043478260869,0.5398550724637682
syntactic n3,0.48514492753623184,0.9527173913043478,0.9829710144927537
syntactic n3 tf,0.48514492753623184,0.9829710144927537,0.5398550724637682
syntactic n3 tfidf,0.48514492753623184,0.9746376811594203,0.5398550724637682
trigrams,0.5403985507246378,0.6514492753623188,0.8722826086956521
trigrams pos,0.764855072463768,0.7324275362318842,0.8173913043478261
trigrams pos punct,0.9612318840579711,0.9833333333333334,0.9958333333333333
trigrams pos punct tf,0.9697463768115944,0.9956521739130434,0.5445652173913044
trigrams pos punct tfidf,0.9697463768115944,0.9956521739130435,0.5445652173913044
trigrams pos tf,0.8083333333333333,0.982608695652174,0.5445652173913044
trigrams pos tfidf,0.8083333333333333,0.982608695652174,0.5445652173913044
trigrams punct,0.5615942028985507,0.9318840579710145,0.9702898550724639
trigrams punct tf,0.5615942028985507,0.936050724637681,0.5445652173913044
trigrams punct tfidf,0.5615942028985507,0.9405797101449276,0.5445652173913044
trigrams tf,0.5445652173913044,0.8121376811594203,0.5445652173913044
trigrams tfidf,0.5445652173913044,0.8342391304347826,0.5445652173913044
unigrams,0.8465579710144928,0.9490942028985506,0.9827898550724639
unigrams punct,0.8635869565217391,0.9827898550724639,1.0
unigrams punct tf,0.8931159420289856,0.9913043478260869,0.5445652173913044
unigrams punct tfidf,0.8931159420289856,0.9913043478260869,0.5445652173913044
unigrams tf,0.8679347826086955,0.982608695652174,0.5445652173913044
unigrams tfidf,0.8679347826086955,0.9869565217391305,0.5445652173913044
