,Dimension,SVC,Naïve Bayes,Decision Tree,Logistic Regression
bigrams,78246.0000,0.6467,0.8000,0.8170,0.9656
bigrams pos,231.0000,0.7873,0.6170,0.6770,0.8172
bigrams pos punct,730.0000,0.9746,0.9958,0.9917,0.9958
bigrams pos punct tf,730.0000,0.9746,0.9958,0.9746,0.5446
bigrams pos punct tfidf,730.0000,0.9746,0.9958,0.9746,0.5446
bigrams pos tf,231.0000,0.8045,0.7870,0.7489,0.5446
bigrams pos tfidf,231.0000,0.8045,0.7784,0.7489,0.5446
bigrams punct,69168.0000,0.8380,0.9571,0.9957,0.9913
bigrams punct tf,69168.0000,0.8422,0.9571,0.9913,0.5446
bigrams punct tfidf,69168.0000,0.8422,0.9871,0.9913,0.5446
bigrams tf,78246.0000,0.7150,0.8000,0.8078,0.5446
bigrams tfidf,78246.0000,0.7150,0.8889,0.8078,0.5446
cohesive,124.0000,0.6944,0.5408,0.6636,0.7404
cohesive punctuation,897.0000,0.8380,0.8723,0.8810,0.9105
cohesive punctuation tf,897.0000,0.8380,0.8723,0.8900,0.5446
cohesive punctuation tfidf,897.0000,0.8380,0.9025,0.8900,0.5446
cohesive tf,124.0000,0.6775,0.5366,0.7393,0.5446
cohesive tfidf,124.0000,0.6775,0.5493,0.7393,0.5446
syntactic n2,89117.0000,0.8034,0.9567,0.9400,0.9913
syntactic n2 tf,89117.0000,0.7092,0.9567,0.9616,0.5399
syntactic n2 tfidf,89117.0000,0.7092,0.9784,0.9616,0.5399
syntactic n3,270419.0000,0.4851,0.8929,0.9272,0.9274
syntactic n3 tf,270419.0000,0.4851,0.8929,0.8928,0.5399
syntactic n3 tfidf,270419.0000,0.4851,0.9574,0.8928,0.5399
trigrams,157088.0000,0.5404,0.8000,0.7531,0.7612
trigrams pos,2526.0000,0.7649,0.5625,0.6083,0.7958
trigrams pos punct,6609.0000,0.9612,0.9958,0.9578,0.9957
trigrams pos punct tf,6609.0000,0.9697,0.9958,0.9708,0.5446
trigrams pos punct tfidf,6609.0000,0.9697,0.9958,0.9708,0.5446
trigrams pos tf,2526.0000,0.8083,0.6051,0.8214,0.5446
trigrams pos tfidf,2526.0000,0.8083,0.6982,0.8214,0.5446
trigrams punct,156913.0000,0.5616,0.8895,0.9576,0.9364
trigrams punct tf,156913.0000,0.5616,0.8895,0.9234,0.5446
trigrams punct tfidf,156913.0000,0.5616,0.9701,0.9234,0.5446
trigrams tf,157088.0000,0.5446,0.8000,0.8134,0.5446
trigrams tfidf,157088.0000,0.5446,0.8337,0.8134,0.5446
unigrams,10025.0000,0.8466,0.8897,0.9234,0.9828
unigrams punct,10065.0000,0.8636,0.9489,0.9915,0.9957
unigrams punct tf,10065.0000,0.8931,0.9489,0.9915,0.5446
unigrams punct tfidf,10065.0000,0.8931,0.9788,0.9915,0.5446
unigrams tf,10025.0000,0.8679,0.8897,0.8511,0.5446
unigrams tfidf,10025.0000,0.8679,0.9404,0.8511,0.5446
