,SVC,Random Forest,Logistic Regression
bigrams,0.957823613086771,0.9708392603129447,0.9842105263157895
bigrams pos,0.8648648648648649,0.6108819345661451,0.8622332859174964
bigrams pos punct,0.9840682788051209,0.9867709815078237,0.9920341394025606
bigrams pos punct tf,0.2699146514935989,0.989402560455192,0.2699146514935989
bigrams pos punct tfidf,0.2699146514935989,0.9788762446657184,0.2699146514935989
bigrams pos tf,0.2699146514935989,0.7776671408250355,0.2699146514935989
bigrams pos tfidf,0.2699146514935989,0.7456614509246088,0.2699146514935989
bigrams punct,0.9655761024182077,0.9894736842105264,0.9867709815078237
bigrams punct tf,0.2699146514935989,0.9973684210526315,0.2699146514935989
bigrams punct tfidf,0.2699146514935989,0.989402560455192,0.2699146514935989
bigrams tf,0.2699146514935989,0.9762446657183499,0.2699146514935989
bigrams tfidf,0.2699146514935989,0.9655049786628733,0.2699146514935989
cohesive,0.8674964438122332,0.9178520625889048,0.9232574679943102
cohesive punctuation,0.957610241820768,0.9602418207681366,0.9788051209103843
cohesive punctuation tf,0.2699146514935989,0.9867709815078237,0.2699146514935989
cohesive punctuation tfidf,0.2699146514935989,0.9921052631578948,0.2699146514935989
cohesive tf,0.2699146514935989,0.9763157894736842,0.2699146514935989
cohesive tfidf,0.2699146514935989,0.9841394025604553,0.2699146514935989
syntactic n2,0.9551209103840683,0.9763157894736842,0.9736130867709816
syntactic n2 tf,0.2699146514935989,0.9868421052631579,0.2699146514935989
syntactic n2 tfidf,0.2699146514935989,0.9789473684210528,0.2699146514935989
syntactic n3,0.9049075391180654,0.9419630156472261,0.9206970128022759
syntactic n3 tf,0.2699146514935989,0.9499288762446657,0.2699146514935989
syntactic n3 tfidf,0.2699146514935989,0.9367709815078236,0.2699146514935989
trigrams,0.8519203413940255,0.9128733997155049,0.8890469416785207
trigrams pos,0.8198435277382646,0.6637268847795165,0.8676386913229018
trigrams pos punct,0.9761735419630158,0.981507823613087,0.9947368421052631
trigrams pos punct tf,0.2699146514935989,0.9736130867709816,0.2699146514935989
trigrams pos punct tfidf,0.2699146514935989,0.9736130867709816,0.2699146514935989
trigrams pos tf,0.2699146514935989,0.7482930298719773,0.2699146514935989
trigrams pos tfidf,0.2699146514935989,0.7986486486486487,0.2699146514935989
trigrams punct,0.9630867709815079,0.981507823613087,0.9763157894736842
trigrams punct tf,0.2699146514935989,0.9841394025604553,0.2699146514935989
trigrams punct tfidf,0.2699146514935989,0.9921052631578948,0.2699146514935989
trigrams tf,0.2699146514935989,0.9312233285917497,0.2699146514935989
trigrams tfidf,0.2699146514935989,0.9366287339971551,0.2699146514935989
unigrams,0.9709815078236131,0.9947368421052631,0.9894736842105264
unigrams punct,0.9814366998577524,1.0,0.9866998577524895
unigrams punct tf,0.2699146514935989,0.9973684210526315,0.2699146514935989
unigrams punct tfidf,0.2699146514935989,0.9973684210526315,0.2699146514935989
unigrams tf,0.2699146514935989,0.9947368421052631,0.2699146514935989
unigrams tfidf,0.2699146514935989,0.9947368421052631,0.2699146514935989
