,SVC,Random Forest,Logistic Regression
unigrams,0.9709815078236131,0.9973684210526315,0.9894736842105264
bigrams,0.957823613086771,0.9841394025604553,0.9842105263157895
trigrams,0.8519203413940255,0.9366287339971551,0.8890469416785207
unigrams punct,0.9814366998577524,0.9947368421052631,0.9866998577524895
bigrams punct,0.9655761024182077,0.9947368421052631,0.9867709815078237
trigrams punct,0.9630867709815079,0.9841394025604553,0.9763157894736842
bigrams pos,0.8648648648648649,0.6321479374110953,0.859601706970128
trigrams pos,0.8198435277382646,0.6376955903271693,0.8676386913229018
bigrams pos punct,0.9840682788051209,0.9788762446657184,0.9920341394025606
trigrams pos punct,0.9761735419630158,0.9815789473684211,0.9947368421052631
cohesive,0.8674964438122332,0.9127311522048362,0.9232574679943102
cohesive punctuation,0.957610241820768,0.970910384068279,0.9788051209103843
syntactic n2,0.9551209103840683,0.9841394025604553,0.9736130867709816
syntactic n3,0.9049075391180654,0.9526315789473685,0.9206970128022759
bigrams tf,0.2699146514935989,0.9763157894736842,0.2699146514935989
bigrams tfidf,0.2699146514935989,0.9868421052631579,0.2699146514935989
bigrams pos tf,0.2699146514935989,0.6874822190611665,0.2699146514935989
bigrams pos tfidf,0.2699146514935989,0.7381934566145093,0.2699146514935989
bigrams pos punct tfidf,0.2699146514935989,0.9788762446657184,0.2699146514935989
bigrams pos punct tf,0.2699146514935989,0.981507823613087,0.2699146514935989
bigrams punct tf,0.2699146514935989,0.9947368421052631,0.2699146514935989
cohesive punctuation tf,0.2699146514935989,0.9894025604551923,0.2699146514935989
cohesive tfidf,0.2699146514935989,0.9761735419630156,0.2699146514935989
bigrams punct tfidf,0.2699146514935989,0.9946657183499289,0.2699146514935989
cohesive punctuation tfidf,0.2699146514935989,0.9894736842105264,0.2699146514935989
cohesive tf,0.2699146514935989,0.973470839260313,0.2699146514935989
syntactic n2 tf,0.2699146514935989,0.9815789473684211,0.2699146514935989
syntactic n2 tfidf,0.2699146514935989,0.9894736842105264,0.2699146514935989
syntactic n3 tf,0.2699146514935989,0.9499288762446657,0.2699146514935989
syntactic n3 tfidf,0.2699146514935989,0.9446657183499289,0.2699146514935989
trigrams tf,0.2699146514935989,0.9103129445234709,0.2699146514935989
trigrams tfidf,0.2699146514935989,0.9525604551920341,0.2699146514935989
trigrams pos tf,0.2699146514935989,0.7826458036984352,0.2699146514935989
trigrams pos tfidf,0.2699146514935989,0.7618065433854908,0.2699146514935989
trigrams pos punct tf,0.2699146514935989,0.9867709815078237,0.2699146514935989
trigrams pos punct tfidf,0.2699146514935989,0.9736130867709816,0.2699146514935989
trigrams punct tf,0.2699146514935989,0.9867709815078237,0.2699146514935989
trigrams punct tfidf,0.2699146514935989,0.981507823613087,0.2699146514935989
unigrams tf,0.2699146514935989,0.9921052631578947,0.2699146514935989
unigrams tfidf,0.2699146514935989,0.9947368421052631,0.2699146514935989
unigrams punct tf,0.2699146514935989,0.9973684210526315,0.2699146514935989
unigrams punct tfidf,0.2699146514935989,1.0,0.2699146514935989
