,SVC,Random Forest,Logistic Regression
bigrams,0.9572463768115942,0.8976449275362318,0.9873188405797102
unigrams,0.9655797101449275,0.9360507246376812,0.9827898550724639
trigrams,0.6463768115942028,0.6340579710144929,0.8722826086956521
unigrams punct,0.9827898550724639,0.9875,1.0
trigrams punct,0.9318840579710145,0.9103260869565217,0.9702898550724639
bigrams punct,0.9871376811594204,0.9788043478260869,1.0
trigrams pos,0.7657608695652174,0.7789855072463767,0.8173913043478261
bigrams pos,0.7914855072463768,0.7833333333333333,0.8215579710144928
trigrams pos punct,0.9786231884057971,0.9833333333333334,0.9958333333333333
bigrams pos punct,0.9829710144927537,0.9916666666666668,1.0
cohesive punctuation,0.8853260869565217,0.9148550724637682,0.9192028985507246
cohesive,0.706340579710145,0.7440217391304348,0.7405797101449275
syntactic n2,0.9913043478260869,0.9786231884057971,0.9956521739130435
syntactic n3,0.8155797101449276,0.9532608695652174,0.9829710144927537
bigrams tf,0.5445652173913044,0.9784420289855074,0.5445652173913044
bigrams tfidf,0.5445652173913044,0.9655797101449275,0.5445652173913044
bigrams pos punct tf,0.5445652173913044,1.0,0.5445652173913044
bigrams pos punct tfidf,0.5445652173913044,0.9958333333333333,0.5445652173913044
bigrams pos tfidf,0.5445652173913044,0.9742753623188408,0.5445652173913044
bigrams pos tf,0.5445652173913044,0.9827898550724639,0.5445652173913044
bigrams punct tf,0.5445652173913044,0.9827898550724636,0.5445652173913044
cohesive tf,0.5445652173913044,0.9527173913043481,0.5445652173913044
cohesive punctuation tf,0.5445652173913044,0.9869565217391305,0.5445652173913044
bigrams punct tfidf,0.5445652173913044,0.9869565217391305,0.5445652173913044
cohesive tfidf,0.5445652173913044,0.9568840579710146,0.5445652173913044
cohesive punctuation tfidf,0.5445652173913044,0.9869565217391305,0.5445652173913044
syntactic n2 tf,0.5398550724637682,0.9956521739130435,0.5398550724637682
syntactic n2 tfidf,0.5398550724637682,0.9956521739130435,0.5398550724637682
syntactic n3 tf,0.5398550724637682,0.991485507246377,0.5398550724637682
syntactic n3 tfidf,0.5398550724637682,0.9829710144927537,0.5398550724637682
trigrams tf,0.5445652173913044,0.8088768115942029,0.5445652173913044
trigrams tfidf,0.5445652173913044,0.8423913043478259,0.5445652173913044
trigrams pos tfidf,0.5445652173913044,0.982608695652174,0.5445652173913044
trigrams pos tf,0.5445652173913044,0.982608695652174,0.5445652173913044
trigrams pos punct tfidf,0.5445652173913044,1.0,0.5445652173913044
trigrams pos punct tf,0.5445652173913044,1.0,0.5445652173913044
trigrams punct tf,0.5445652173913044,0.9403985507246377,0.5445652173913044
trigrams punct tfidf,0.5445652173913044,0.9403985507246377,0.5445652173913044
unigrams tfidf,0.5445652173913044,0.9913043478260869,0.5445652173913044
unigrams tf,0.5445652173913044,0.9913043478260869,0.5445652173913044
unigrams punct tf,0.5445652173913044,0.9913043478260869,0.5445652173913044
unigrams punct tfidf,0.5445652173913044,0.9956521739130434,0.5445652173913044
