,SVC,Naïve Bayes,Random Forest,Logistic Regression
unigrams,0.9603840682788052,0.8071834992887623,1.0,0.9894736842105264
bigrams,0.6295874822190612,0.396728307254623,0.9842105263157895,0.9842105263157895
trigrams,0.12425320056899003,0.05014224751066856,0.9258179231863443,0.8890469416785207
unigrams punct,0.9603840682788052,0.8125889046941678,1.0,0.9866998577524895
bigrams punct,0.812091038406828,0.640113798008535,0.9894736842105264,0.9867709815078237
trigrams punct,0.4712660028449502,0.5268847795163585,0.9867709815078237,0.9763157894736842
bigrams pos,0.8280938833570411,0.4438833570412517,0.6109530583214794,0.859601706970128
trigrams pos,0.8413229018492177,0.43691322901849217,0.6660739687055476,0.8676386913229018
bigrams pos punct,0.9867709815078237,0.8679943100995733,0.9841394025604553,0.9920341394025606
trigrams pos punct,0.9947368421052631,0.9472972972972974,0.9788762446657184,0.9947368421052631
cohesive,0.8622332859174964,0.7487908961593173,0.9309388335704124,0.9232574679943102
cohesive punctuation,0.9657894736842106,0.8679231863442389,0.9682076813655762,0.9788051209103843
syntactic n2,0.6746799431009958,0.4495732574679943,0.9894736842105264,0.9736130867709816
syntactic n3,0.21685633001422477,0.12688477951635846,0.9446657183499289,0.9206970128022759
bigrams tf,0.632290184921764,0.396728307254623,0.9735419630156473,0.2699146514935989
bigrams tfidf,0.632290184921764,0.8440967283072546,0.981507823613087,0.2699146514935989
bigrams pos tf,0.8201991465149361,0.43847795163584635,0.7298719772403983,0.2699146514935989
bigrams pos tfidf,0.8201991465149361,0.43321479374110944,0.7246799431009958,0.2699146514935989
bigrams pos punct tfidf,0.9867709815078237,0.8679943100995733,0.9788762446657184,0.2699146514935989
bigrams pos punct tf,0.9867709815078237,0.8679943100995733,0.9788762446657184,0.2699146514935989
bigrams punct tf,0.812091038406828,0.640113798008535,0.9972972972972973,0.2699146514935989
cohesive punctuation tf,0.9631578947368421,0.8679231863442389,0.9947368421052631,0.2699146514935989
cohesive tfidf,0.8701280227596018,0.7487908961593173,0.9842105263157895,0.2699146514935989
bigrams punct tfidf,0.812091038406828,0.939331436699858,0.9921052631578948,0.2699146514935989
cohesive punctuation tfidf,0.9631578947368421,0.9022759601706969,0.9867709815078237,0.2699146514935989
cohesive tf,0.8701280227596018,0.7487908961593173,0.9788051209103843,0.2699146514935989
syntactic n2 tf,0.6667852062588905,0.4495732574679943,0.9789473684210528,0.2699146514935989
syntactic n2 tfidf,0.6667852062588905,0.8943100995732575,0.9815789473684211,0.2699146514935989
syntactic n3 tf,0.21145092460881934,0.12688477951635846,0.9340682788051209,0.2699146514935989
syntactic n3 tfidf,0.21145092460881934,0.6480796586059744,0.939331436699858,0.2699146514935989
trigrams tf,0.12695590327169273,0.05014224751066856,0.9205547652916074,0.2699146514935989
trigrams tfidf,0.12695590327169273,0.38890469416785206,0.936628733997155,0.2699146514935989
trigrams pos tf,0.8492176386913229,0.4395448079658606,0.7852062588904696,0.2699146514935989
trigrams pos tfidf,0.8492176386913229,0.5110953058321479,0.7644381223328592,0.2699146514935989
trigrams pos punct tf,0.9947368421052631,0.9472972972972974,0.9815078236130867,0.2699146514935989
trigrams pos punct tfidf,0.9947368421052631,0.9736130867709816,0.9657183499288763,0.2699146514935989
trigrams punct tf,0.476529160739687,0.5268847795163585,0.9867709815078237,0.2699146514935989
trigrams punct tfidf,0.476529160739687,0.89950213371266,0.981507823613087,0.2699146514935989
unigrams tf,0.9603840682788052,0.8071834992887623,0.9921052631578948,0.2699146514935989
unigrams tfidf,0.9603840682788052,0.9207681365576101,0.9921052631578948,0.2699146514935989
unigrams punct tf,0.9603840682788052,0.8125889046941678,0.9973684210526315,0.2699146514935989
unigrams punct tfidf,0.9603840682788052,0.9207681365576101,0.9921052631578948,0.2699146514935989
