,SVC,Random Forest,Logistic Regression
bigrams,0.6295874822190612,0.9709815078236131,0.9842105263157895
bigrams pos,0.8254623044096728,0.6160739687055476,0.8622332859174964
bigrams pos punct,0.9867709815078237,0.981507823613087,0.9920341394025606
bigrams pos punct tf,0.9867709815078237,0.9736130867709816,0.2699146514935989
bigrams pos punct tfidf,0.9867709815078237,0.9788762446657184,0.2699146514935989
bigrams pos tf,0.8254623044096728,0.7455903271692745,0.2699146514935989
bigrams pos tfidf,0.8254623044096728,0.70049786628734,0.2699146514935989
bigrams punct,0.812091038406828,1.0,0.9867709815078237
bigrams punct tf,0.812091038406828,0.9921052631578947,0.2699146514935989
bigrams punct tfidf,0.812091038406828,0.9972972972972973,0.2699146514935989
bigrams tf,0.632290184921764,0.9736842105263157,0.2699146514935989
bigrams tfidf,0.632290184921764,0.9947368421052631,0.2699146514935989
cohesive,0.8622332859174964,0.9180654338549076,0.9232574679943102
cohesive punctuation,0.9657894736842106,0.9603129445234708,0.9788051209103843
cohesive punctuation tf,0.9631578947368421,0.9921052631578948,0.2699146514935989
cohesive punctuation tfidf,0.9631578947368421,0.9842105263157894,0.2699146514935989
cohesive tf,0.8701280227596018,0.9842105263157895,0.2699146514935989
cohesive tfidf,0.8701280227596018,0.9842105263157894,0.2699146514935989
syntactic n2,0.6746799431009958,0.9868421052631579,0.9736130867709816
syntactic n2 tf,0.6667852062588905,0.9709815078236131,0.2699146514935989
syntactic n2 tfidf,0.6667852062588905,0.9947368421052631,0.2699146514935989
syntactic n3,0.21685633001422477,0.9393314366998577,0.9206970128022759
syntactic n3 tf,0.21145092460881934,0.92624466571835,0.2699146514935989
syntactic n3 tfidf,0.21145092460881934,0.9524893314366999,0.2699146514935989
trigrams,0.12425320056899003,0.9366287339971551,0.8890469416785207
trigrams pos,0.8413229018492177,0.658321479374111,0.8676386913229018
trigrams pos punct,0.9947368421052631,0.9736130867709816,0.9947368421052631
trigrams pos punct tf,0.9947368421052631,0.9763157894736842,0.2699146514935989
trigrams pos punct tfidf,0.9947368421052631,0.981507823613087,0.2699146514935989
trigrams pos tf,0.8492176386913229,0.7852773826458037,0.2699146514935989
trigrams pos tfidf,0.8492176386913229,0.7953058321479374,0.2699146514935989
trigrams punct,0.4712660028449502,0.9788762446657184,0.9763157894736842
trigrams punct tf,0.476529160739687,0.9842105263157895,0.2699146514935989
trigrams punct tfidf,0.476529160739687,0.9867709815078237,0.2699146514935989
trigrams tf,0.12695590327169273,0.9418918918918919,0.2699146514935989
trigrams tfidf,0.12695590327169273,0.9048364153627311,0.2699146514935989
unigrams,0.9603840682788052,0.9920341394025606,0.9894736842105264
unigrams punct,0.9603840682788052,0.9894736842105264,0.9866998577524895
unigrams punct tf,0.9603840682788052,0.9947368421052631,0.2699146514935989
unigrams punct tfidf,0.9603840682788052,0.9947368421052631,0.2699146514935989
unigrams tf,0.9603840682788052,1.0,0.2699146514935989
unigrams tfidf,0.9603840682788052,0.9921052631578947,0.2699146514935989
