,Dimension,SVC,Naïve Bayes,Decision Tree,Logistic Regression
1grams,22391.0000,0.9550,0.8149,0.9523,0.9842
1grams punct,22442.0000,0.9603,0.8228,0.9656,0.9868
2grams,296895.0000,0.6187,0.4390,0.8916,0.9762
2grams punct,271925.0000,0.8091,0.6560,0.9552,0.9841
2gramsPOS,227.0000,0.8494,0.4448,0.5557,0.8995
2gramsPOS punct,816.0000,0.9921,0.9097,0.9576,0.9920
3grams,748738.0000,0.1454,0.0765,0.8597,0.8836
3grams punct,736288.0000,0.4626,0.5206,0.9417,0.9789
3gramsPOS,2830.0000,0.8680,0.4607,0.5687,0.8995
3gramsPOS punct,8476.0000,0.9921,0.9551,0.9710,0.9920
cohesive,142.0000,0.8679,0.7487,0.8119,0.9233
cohesive punct,1210.0000,0.9630,0.8701,0.8361,0.9736
synctactic n2,418745.0000,0.6608,0.4947,0.8861,0.9657
synctactic n3,1851969.0000,0.1982,0.1531,0.8650,0.9128
